uid	|	parent_uid	|	name	|	rank	|	sourceinfo	|	uniqname	|	flags	|	
4796244	|	888219	|	crenarchaeote symbiont of Axinella sp.	|	species	|	silva:AF421159,ncbi:173517	|		|		|	
4796252	|	888219	|	crenarchaeote symbiont of Axinella verrucosa	|	species	|	silva:AF420237,ncbi:171716	|		|		|	
5204995	|	888219	|	uncultured Cenarchaeaceae thaumarchaeote	|	species	|	silva:DQ299278,ncbi:375545	|		|		|	
363497	|	888219	|	Cenarchaeum symbiosum	|	species	|	silva:AF083072,ncbi:46770,worms:573558,gbif:5900469,irmng:11734707	|		|		|	
376617	|	363497	|	Cenarchaeum symbiosum B	|	no rank - terminal	|	ncbi:414005	|		|	infraspecific	|	
5204996	|	888219	|	Cenarchaeum environmental samples	|	no rank - terminal	|	ncbi:355925	|		|	was_container	|	
5204994	|	189165	|	Cenarchaeaceae environmental samples	|	no rank - terminal	|	ncbi:375544	|		|	was_container	|	
5204998	|	179705	|	Cenarchaeales environmental samples	|	no rank - terminal	|	ncbi:260466	|		|	was_container	|	
5204999	|	179705	|	uncultured Cenarchaeales thaumarchaeote	|	species	|	ncbi:260467	|		|	sibling_higher,not_otu	|	
5205398	|	4795965	|	uncultured crenarchaeote ODPB-A18	|	species	|	silva:AF121098,ncbi:95930	|		|	sibling_higher	|	
5205625	|	4795965	|	uncultured crenarchaeote ODPB-A3	|	species	|	silva:AF121093,ncbi:95925	|		|	sibling_higher	|	
5205019	|	4795965	|	uncultured marine crenarchaeote KM3-86-C1	|	species	|	silva:EU686625,ncbi:526685	|		|	sibling_higher	|	
5205058	|	4795965	|	uncultured Nitrosopumilales archaeon	|	species	|	silva:EF069380,ncbi:171534	|		|	sibling_higher	|	
5205057	|	4795965	|	uncultured crenarchaeote 4B7	|	species	|	silva:U40238,ncbi:44557	|		|	sibling_higher	|	
5204997	|	4795965	|	uncultured Cenarchaeum sp.	|	species	|	silva:AB240745,ncbi:355926	|		|	sibling_higher	|	
5205427	|	4795965	|	uncultured crenarchaeote DeepAnt-EC39	|	species	|	silva:AY316120,ncbi:247023	|		|	sibling_higher	|	
5208046	|	4795965	|	uncultured marine archaeon DCM74161	|	species	|	silva:AF121988,ncbi:105563	|		|	sibling_higher	|	
5208240	|	4795965	|	archaeon enrichment culture clone CN25	|	species	|	silva:HQ338108,ncbi:914639	|		|	sibling_higher	|	
5208589	|	4795965	|	uncultured archaeon SAGMA-3	|	species	|	silva:AB050234,ncbi:140274	|		|	sibling_higher	|	
5208762	|	4795965	|	uncultured marine archaeon DCM867	|	species	|	silva:AF121998,ncbi:105573	|		|	sibling_higher	|	
770080	|	4795965	|	Candidatus Nitrosopumilus koreensis AR1	|	no rank - terminal	|	silva:CP003842,ncbi:1229908	|		|		|	
5574944	|	4795965	|	cluster HP459251	|	no rank - terminal	|	silva:HP459251	|		|		|	
5207875	|	4795965	|	uncultured archaeon 19a-19	|	species	|	silva:AJ294879,ncbi:138488	|		|	sibling_higher	|	
5208594	|	4795965	|	uncultured archaeon SAGMA-8	|	species	|	silva:AB050238,ncbi:140278	|		|	sibling_higher	|	
5208200	|	4795965	|	uncultured archaeon CRA8-11cm	|	species	|	silva:AF119127,ncbi:93178	|		|	sibling_higher	|	
5207749	|	4795965	|	uncultured archaeon W4-93a	|	species	|	silva:JQ085821,ncbi:1131007	|		|	sibling_higher	|	
5208047	|	4795965	|	uncultured marine archaeon DCM74159	|	species	|	silva:AF121987,ncbi:105562	|		|	sibling_higher	|	
5274697	|	4795965	|	Order Incertae Sedis	|	no rank - terminal	|	silva:D87348/#4	|	Order Incertae Sedis (in Marine Group I)	|	was_container	|	
5208100	|	4795965	|	uncultured archaeon CRA20-0cm	|	species	|	silva:AF119130,ncbi:93181	|		|	sibling_higher	|	
5208763	|	4795965	|	uncultured marine archaeon DCM862	|	species	|	silva:AF121995,ncbi:105570	|		|	sibling_higher	|	
5207771	|	4795965	|	uncultured marine archaeon TS235C310	|	species	|	silva:AF052949,ncbi:80928	|		|	sibling_higher	|	
5205628	|	4795965	|	uncultured crenarchaeote ODPB-A9	|	species	|	silva:AF121096,ncbi:95928	|		|	sibling_higher	|	
5207867	|	4795965	|	uncultured archaeon 19b-52	|	species	|	silva:AJ294873,ncbi:138482	|		|	sibling_higher	|	
5205035	|	4795965	|	uncultured marine crenarchaeote AD1000-56-E4	|	species	|	silva:EU686623,ncbi:526641	|		|	sibling_higher	|	
5207868	|	4795965	|	uncultured archaeon 19a-1	|	species	|	silva:AJ294874,ncbi:138483	|		|	sibling_higher	|	
5205615	|	4795965	|	unidentified hydrothermal vent archaeon PVA_OTU_2	|	species	|	silva:U46678,ncbi:45967	|		|	sibling_higher	|	
5207852	|	4795965	|	uncultured archaeon APA1-0cm	|	species	|	silva:AF119134,ncbi:93185	|		|	sibling_higher	|	
5205022	|	4795965	|	uncultured marine crenarchaeote AD1000-207-H3	|	species	|	silva:EU686633,ncbi:526637	|		|	sibling_higher	|	
5205191	|	4795965	|	uncultured thaumarchaeote	|	species	|	silva:JN825303,ncbi:651141	|		|	sibling_higher	|	
5205356	|	4795965	|	unidentified archaeon PM7	|	species	|	silva:U71109,ncbi:52268	|		|	sibling_higher	|	
5208043	|	4795965	|	uncultured marine archaeon DCM861	|	species	|	silva:AF121994,ncbi:105569	|		|	sibling_higher	|	
5208198	|	4795965	|	uncultured archaeon CRA7-0cm	|	species	|	silva:AF119125,ncbi:93176	|		|	sibling_higher	|	
5205627	|	4795965	|	uncultured crenarchaeote ODPB-A7	|	species	|	silva:AF121095,ncbi:95927	|		|	sibling_higher	|	
5208099	|	4795965	|	uncultured archaeon APA3-0cm	|	species	|	silva:AF119136,ncbi:93187	|		|	sibling_higher	|	
5207670	|	4795965	|	uncultured sponge symbiont PAAR8	|	species	|	silva:AF186423,ncbi:105057	|		|	sibling_higher	|	
5208170	|	4795965	|	unidentified hydrothermal vent archaeon PVA_OTU_3	|	species	|	silva:U46679,ncbi:45968	|		|	sibling_higher	|	
5208767	|	4795965	|	uncultured marine archaeon DCM871	|	species	|	silva:AF121999,ncbi:105574	|		|	sibling_higher	|	
5574945	|	4795965	|	Family Incertae Sedis	|	no rank - terminal	|	silva:D87348/#5	|	Family Incertae Sedis (in Marine Group I)	|	incertae_sedis,was_container	|	
1018283	|	4795965	|	Candidatus Nitrosoarchaeum	|	genus	|	silva:AF293018/#6,ncbi:1007082	|		|	incertae_sedis	|	
5208590	|	1018283	|	uncultured archaeon SAGMA-1	|	species	|	silva:AB050232,ncbi:140272	|		|	incertae_sedis_inherited	|	
5205691	|	1018283	|	uncultured Green Bay ferromanganous micronodule archaeon ARA7	|	species	|	silva:AF293018,ncbi:140618	|		|	incertae_sedis_inherited	|	
1018291	|	1018283	|	Candidatus Nitrosoarchaeum limnia	|	species	|	ncbi:1007084	|		|	incertae_sedis_inherited	|	
177954	|	1018291	|	Candidatus Nitrosoarchaeum limnia SFB1	|	no rank - terminal	|	silva:AEGP01000029,ncbi:886738	|		|	incertae_sedis_inherited,infraspecific	|	
889858	|	1018291	|	Candidatus Nitrosoarchaeum limnia BG20	|	no rank - terminal	|	ncbi:859192	|		|	incertae_sedis_inherited,infraspecific	|	
59398	|	1018283	|	Candidatus Nitrosoarchaeum koreensis	|	species	|	ncbi:1088740	|		|	incertae_sedis_inherited	|	
784590	|	59398	|	Candidatus Nitrosoarchaeum koreensis MY1	|	no rank - terminal	|	silva:HQ331116,ncbi:1001994	|		|	incertae_sedis_inherited,infraspecific	|	
5580298	|	1018283	|	Candidatus Nitrosoarchaeum environmental samples	|	no rank - terminal	|	ncbi:1297041	|		|	incertae_sedis_inherited,was_container	|	
5580299	|	1018283	|	uncultured Candidatus Nitrosoarchaeum sp.	|	species	|	ncbi:1501411	|		|	incertae_sedis_inherited,not_otu	|	
5205071	|	4795965	|	Nitrosopumilaceae environmental samples	|	no rank - terminal	|	ncbi:1118068	|		|	was_container	|	
933985	|	4795965	|	Nitrosopumilaceae	|	family	|	ncbi:338190,worms:559432,gbif:6453386,irmng:121355	|		|	sibling_higher,merged,barren	|	
5205000	|	4795965	|	Nitrosopumilales environmental samples	|	no rank - terminal	|	ncbi:371948	|		|	was_container	|	
5205049	|	4795965	|	uncultured marine crenarchaeote HF4000_APKG10L15	|	species	|	ncbi:455613	|		|	environmental,not_otu	|	
5205038	|	4795965	|	uncultured marine crenarchaeote HF4000_APKG8D6	|	species	|	ncbi:455602	|		|	environmental,not_otu	|	
5205026	|	4795965	|	uncultured marine crenarchaeote HF4000_ANIW133O4	|	species	|	ncbi:455574	|		|	environmental,not_otu	|	
5205067	|	4795965	|	uncultured marine crenarchaeote KM3-47-D6	|	species	|	ncbi:526680	|		|	environmental,not_otu	|	
5205042	|	4795965	|	uncultured marine crenarchaeote HF4000_APKG8I13	|	species	|	ncbi:455606	|		|	environmental,not_otu	|	
5205014	|	4795965	|	uncultured marine crenarchaeote HF4000_APKG5C13	|	species	|	ncbi:455591	|		|	environmental,not_otu	|	
5205025	|	4795965	|	uncultured marine crenarchaeote HF4000_ANIW133M9	|	species	|	ncbi:455573	|		|	environmental,not_otu	|	
5205068	|	4795965	|	uncultured marine crenarchaeote SAT1000-21-C11	|	species	|	ncbi:526689	|		|	environmental,not_otu	|	
5205024	|	4795965	|	uncultured marine crenarchaeote HF4000_ANIW133K13	|	species	|	ncbi:455572	|		|	environmental,not_otu	|	
5205060	|	4795965	|	uncultured marine crenarchaeote HF4000_APKG3K8	|	species	|	ncbi:455588	|		|	environmental,not_otu	|	
5205047	|	4795965	|	uncultured marine crenarchaeote HF4000_APKG10F15	|	species	|	ncbi:455611	|		|	environmental,not_otu	|	
5205046	|	4795965	|	uncultured marine crenarchaeote HF4000_APKG9M20	|	species	|	ncbi:455608	|		|	environmental,not_otu	|	
5205013	|	4795965	|	uncultured marine crenarchaeote HF4000_APKG5B22	|	species	|	ncbi:455590	|		|	environmental,not_otu	|	
5205045	|	4795965	|	uncultured marine crenarchaeote HF4000_APKG8G15	|	species	|	ncbi:455605	|		|	environmental,not_otu	|	
5205006	|	4795965	|	uncultured marine crenarchaeote HF4000_APKG3E18	|	species	|	ncbi:455585	|		|	environmental,not_otu	|	
5205016	|	4795965	|	uncultured marine crenarchaeote HF4000_APKG6D9	|	species	|	ncbi:455597	|		|	environmental,not_otu	|	
5205003	|	4795965	|	uncultured marine crenarchaeote HF4000_APKG5N21	|	species	|	ncbi:455593	|		|	environmental,not_otu	|	
5205018	|	4795965	|	uncultured marine crenarchaeote HF4000_APKG6C9	|	species	|	ncbi:455595	|		|	environmental,not_otu	|	
5205061	|	4795965	|	uncultured marine crenarchaeote HF4000_ANIW141O9	|	species	|	ncbi:455581	|		|	environmental,not_otu	|	
5205044	|	4795965	|	uncultured marine crenarchaeote HF4000_APKG8G2	|	species	|	ncbi:455604	|		|	environmental,not_otu	|	
5205056	|	4795965	|	uncultured marine crenarchaeote HF4000_ANIW97M7	|	species	|	ncbi:455568	|		|	environmental,not_otu	|	
5205005	|	4795965	|	uncultured marine crenarchaeote HF4000_ANIW141N1	|	species	|	ncbi:455580	|		|	environmental,not_otu	|	
5205063	|	4795965	|	uncultured marine crenarchaeote HF4000_APKG2O16	|	species	|	ncbi:455582	|		|	environmental,not_otu	|	
5205040	|	4795965	|	uncultured marine crenarchaeote HF4000_APKG7F11	|	species	|	ncbi:455600	|		|	environmental,not_otu	|	
5205012	|	4795965	|	uncultured marine crenarchaeote HF4000_APKG5E24	|	species	|	ncbi:455592	|		|	environmental,not_otu	|	
5205051	|	4795965	|	uncultured marine crenarchaeote HF4000_ANIW97J3	|	species	|	ncbi:455567	|		|	environmental,not_otu	|	
5205069	|	4795965	|	uncultured marine crenarchaeote HF4000_ANIW133C7	|	species	|	ncbi:455570	|		|	environmental,not_otu	|	
5205008	|	4795965	|	uncultured marine crenarchaeote HF4000_ANIW141M12	|	species	|	ncbi:455578	|		|	environmental,not_otu	|	
5205027	|	4795965	|	uncultured marine crenarchaeote HF4000_ANIW137N13	|	species	|	ncbi:455575	|		|	environmental,not_otu	|	
5205055	|	4795965	|	uncultured marine crenarchaeote HF4000_ANIW93E5	|	species	|	ncbi:455563	|		|	environmental,not_otu	|	
5205004	|	4795965	|	uncultured marine crenarchaeote HF4000_APKG4H17	|	species	|	ncbi:455589	|		|	environmental,not_otu	|	
5205034	|	4795965	|	uncultured crenarchaeote 83A10	|	species	|	ncbi:166585	|		|	environmental,not_otu	|	
5205066	|	4795965	|	uncultured crenarchaeote 74A4	|	species	|	ncbi:166279	|		|	environmental,not_otu	|	
5205053	|	4795965	|	uncultured marine crenarchaeote HF4000_ANIW93I24	|	species	|	ncbi:455565	|		|	environmental,not_otu	|	
5205070	|	4795965	|	uncultured marine crenarchaeote HF4000_ANIW133I6	|	species	|	ncbi:455571	|		|	environmental,not_otu	|	
5205028	|	4795965	|	uncultured marine crenarchaeote HF4000_ANIW137N18	|	species	|	ncbi:455576	|		|	environmental,not_otu	|	
5205009	|	4795965	|	uncultured marine crenarchaeote HF4000_ANIW141M18	|	species	|	ncbi:455579	|		|	environmental,not_otu	|	
5205021	|	4795965	|	uncultured marine crenarchaeote AD1000-202-A2	|	species	|	ncbi:526636	|		|	environmental,not_otu	|	
5205062	|	4795965	|	uncultured marine crenarchaeote HF4000_APKG3B16	|	species	|	ncbi:455583	|		|	environmental,not_otu	|	
5205007	|	4795965	|	uncultured marine crenarchaeote HF4000_APKG3D24	|	species	|	ncbi:455584	|		|	environmental,not_otu	|	
5205002	|	4795965	|	uncultured marine crenarchaeote SAT1000-49-D2	|	species	|	ncbi:526692	|		|	environmental,not_otu	|	
5205033	|	4795965	|	uncultured crenarchaeote 31B02	|	species	|	ncbi:166584	|		|	environmental,not_otu	|	
5205015	|	4795965	|	uncultured marine crenarchaeote HF4000_APKG6D3	|	species	|	ncbi:455596	|		|	environmental,not_otu	|	
5205032	|	4795965	|	uncultured crenarchaeote 19H08	|	species	|	ncbi:166583	|		|	environmental,not_otu	|	
5205020	|	4795965	|	uncultured marine crenarchaeote HF4000_ANIW97P9	|	species	|	ncbi:455569	|		|	environmental,not_otu	|	
5205037	|	4795965	|	uncultured marine crenarchaeote HF4000_APKG9P22	|	species	|	ncbi:455609	|		|	environmental,not_otu	|	
5205030	|	4795965	|	uncultured marine crenarchaeote HF4000_APKG3J11	|	species	|	ncbi:455587	|		|	environmental,not_otu	|	
5205052	|	4795965	|	uncultured marine crenarchaeote HF4000_ANIW93J19	|	species	|	ncbi:455566	|		|	environmental,not_otu	|	
5205010	|	4795965	|	uncultured marine crenarchaeote HF4000_APKG6J21	|	species	|	ncbi:455598	|		|	environmental,not_otu	|	
5205064	|	4795965	|	uncultured marine crenarchaeote HF4000_APKG3H9	|	species	|	ncbi:455586	|		|	environmental,not_otu	|	
5205065	|	4795965	|	uncultured marine crenarchaeote KM3-34-D9	|	species	|	ncbi:526677	|		|	environmental,not_otu	|	
5205041	|	4795965	|	uncultured marine crenarchaeote HF4000_APKG7F19	|	species	|	ncbi:455601	|		|	environmental,not_otu	|	
5205031	|	4795965	|	uncultured crenarchaeote 15G10	|	species	|	ncbi:166582	|		|	environmental,not_otu	|	
5205001	|	4795965	|	uncultured marine crenarchaeote SAT1000-23-F7	|	species	|	ncbi:526690	|		|	environmental,not_otu	|	
5205043	|	4795965	|	uncultured marine crenarchaeote HF4000_APKG8O8	|	species	|	ncbi:455607	|		|	environmental,not_otu	|	
5205036	|	4795965	|	uncultured marine crenarchaeote AD1000-325-A12	|	species	|	ncbi:526639	|		|	environmental,not_otu	|	
5205029	|	4795965	|	uncultured marine crenarchaeote HF4000_ANIW141J13	|	species	|	ncbi:455577	|		|	environmental,not_otu	|	
5205017	|	4795965	|	uncultured marine crenarchaeote HF4000_APKG6B14	|	species	|	ncbi:455594	|		|	environmental,not_otu	|	
5205011	|	4795965	|	uncultured marine crenarchaeote HF4000_APKG6N3	|	species	|	ncbi:455599	|		|	environmental,not_otu	|	
5205050	|	4795965	|	uncultured marine crenarchaeote HF4000_APKG10I20	|	species	|	ncbi:455612	|		|	environmental,not_otu	|	
5205048	|	4795965	|	uncultured marine crenarchaeote HF4000_APKG10D8	|	species	|	ncbi:455610	|		|	environmental,not_otu	|	
5205054	|	4795965	|	uncultured marine crenarchaeote HF4000_ANIW93H17	|	species	|	ncbi:455564	|		|	environmental,not_otu	|	
5205039	|	4795965	|	uncultured marine crenarchaeote HF4000_APKG8D22	|	species	|	ncbi:455603	|		|	environmental,not_otu	|	
701766	|	4795965	|	Nitrosopumilales	|	order	|	ncbi:31932,worms:559431,irmng:12878	|		|	merged,barren	|	
5574946	|	4795965	|	Marine Group I thaumarchaeote SCGC AAA799-D11	|	species	|	ncbi:1502291	|		|	sibling_higher	|	
5574952	|	4795965	|	Marine Group I thaumarchaeote SCGC AAA799-E16	|	species	|	ncbi:1502292	|		|	sibling_higher	|	
5574953	|	4795965	|	Marine Group I thaumarchaeote SCGC AAA799-N04	|	species	|	ncbi:1502293	|		|	sibling_higher	|	
5247438	|	4795965	|	Marine Group I thaumarchaeote SCGC AAA160-J20	|	species	|	ncbi:1105053	|		|	sibling_higher	|	
5574947	|	4795965	|	Marine Group I thaumarchaeote SCGC AAA799-P11	|	species	|	ncbi:1502295	|		|	sibling_higher	|	
5574950	|	4795965	|	Marine Group I thaumarchaeote SCGC AAA799-B03	|	species	|	ncbi:1502289	|		|	sibling_higher	|	
5205089	|	4795965	|	Marine Group I environmental samples	|	no rank - terminal	|	ncbi:905827	|		|	was_container	|	
5205093	|	4795965	|	Thaumarchaeota archaeon SCGC AAA007-O23	|	species	|	ncbi:913333	|		|	sibling_higher	|	
5574951	|	4795965	|	Marine Group I thaumarchaeote SCGC AAA799-D07	|	species	|	ncbi:1502290	|		|	sibling_higher	|	
5574949	|	4795965	|	Marine Group I thaumarchaeote SCGC RSA3	|	species	|	ncbi:1503183	|		|	sibling_higher	|	
5205088	|	4795965	|	Marine Group I thaumarchaeote SCGC AB-629-I23	|	species	|	ncbi:1131266	|		|	sibling_higher	|	
5205087	|	4795965	|	Marine Group I thaumarchaeote SCGC AB-629-A13	|	species	|	ncbi:1131267	|		|	sibling_higher	|	
5574948	|	4795965	|	Marine Group I thaumarchaeote SCGC AAA799-O18	|	species	|	ncbi:1502294	|		|	sibling_higher	|	
5205090	|	4795965	|	archaeon enrichment culture clone AR	|	species	|	ncbi:1109400	|		|	environmental	|	
5205091	|	4795965	|	archaeon enrichment culture clone SJ	|	species	|	ncbi:1109399	|		|	environmental	|	
933987	|	4795965	|	Candidatus Nitrosopumilus	|	genus	|	silva:D87348/#6,ncbi:338191,worms:559433,gbif:6453387,irmng:1468524	|		|	sibling_higher	|	
5205074	|	933987	|	uncultured Candidatus Nitrosopumilus sp.	|	species	|	silva:GU386315,ncbi:517606	|		|		|	
5208197	|	933987	|	uncultured archaeon CRA7-11cm	|	species	|	silva:AF119126,ncbi:93177	|		|		|	
5205358	|	933987	|	unidentified archaeon C6	|	species	|	silva:U71112,ncbi:52266	|		|		|	
5207873	|	933987	|	uncultured archaeon 19a-4	|	species	|	silva:AJ294875,ncbi:138484	|		|		|	
5205360	|	933987	|	unidentified archaeon C46	|	species	|	silva:U71117,ncbi:52264	|		|		|	
5205382	|	933987	|	unculturable Mariana archaeon no. 1	|	species	|	silva:D87348,ncbi:73126	|		|		|	
5208115	|	933987	|	uncultured sediment archaeon	|	species	|	silva:FN553854,ncbi:676242	|		|		|	
604494	|	933987	|	Nitrosopumilus sp. SJ	|	species	|	silva:AJVI01000001,ncbi:1027374	|		|		|	
922836	|	933987	|	Candidatus Nitrosopumilus sp. NM25	|	species	|	silva:AB546961,ncbi:718286	|		|		|	
5205357	|	933987	|	unidentified archaeon PM8	|	species	|	silva:U71110,ncbi:52269	|		|		|	
5205629	|	933987	|	uncultured crenarchaeote ODPB-A12	|	species	|	silva:AF121097,ncbi:95929	|		|		|	
5207855	|	933987	|	uncultured archaeon CRA36-0cm	|	species	|	silva:AF119131,ncbi:93182	|		|		|	
5205365	|	933987	|	unidentified archaeon C20	|	species	|	silva:U71114,ncbi:52261	|		|		|	
5208257	|	933987	|	archaeon enrichment culture clone CN150	|	species	|	silva:HQ338109,ncbi:914640	|		|		|	
5207871	|	933987	|	uncultured archaeon 19a-14	|	species	|	silva:AJ294877,ncbi:138486	|		|		|	
5580292	|	933987	|	Candidatus Nitrosopumilus koreensis	|	species	|	ncbi:1510466	|		|	merged	|	
5878051	|	933987	|	Nitrosopumilus sp. LS_AOA	|	species	|	ncbi:1671876	|		|		|	
5580295	|	933987	|	Candidatus Nitrosopumilus adriaticus	|	species	|	ncbi:1580092	|		|		|	
5878048	|	933987	|	Nitrosopumilus sp. BACL13 MAG-120910-bin56	|	species	|	ncbi:1655560	|		|		|	
5878053	|	933987	|	Nitrosopumilus sp. SW	|	species	|	ncbi:1818884	|		|		|	
5361995	|	933987	|	Candidatus Nitrosopumilus sp. PS0	|	species	|	ncbi:1470067	|		|		|	
770081	|	933987	|	Candidatus Nitrosopumilus sp. AR2	|	species	|	ncbi:1229909	|		|		|	
297988	|	933987	|	Candidatus Nitrosopumilus salaria	|	species	|	ncbi:1170320	|		|		|	
136362	|	297988	|	Candidatus Nitrosopumilus salaria BD31	|	no rank - terminal	|	silva:AEXL02000090,ncbi:859350	|		|	infraspecific	|	
5580296	|	933987	|	Candidatus Nitrosopumilus piranensis	|	species	|	ncbi:1582439	|		|		|	
5205073	|	933987	|	Nitrosopumilus environmental samples	|	no rank - terminal	|	ncbi:517605	|		|	was_container	|	
5878049	|	933987	|	Nitrosopumilus sp. BACL13 MAG-121220-bin23	|	species	|	ncbi:1655561	|		|		|	
5878052	|	933987	|	Nitrosopumilus sp. Nsub	|	species	|	ncbi:1776294	|		|		|	
465781	|	933987	|	Nitrosopumilus sp. AR	|	species	|	ncbi:1027373	|		|		|	
5878047	|	933987	|	Candidatus Nitrosopumilus sp. DDS1	|	species	|	ncbi:1679446	|		|		|	
5878050	|	933987	|	Nitrosopumilus sp. DDS1	|	species	|	ncbi:1740111	|		|		|	
5580293	|	933987	|	Nitrosopumilus sp. PRT-SC01	|	species	|	ncbi:1527301	|		|		|	
5361994	|	933987	|	Candidatus Nitrosopumilus sp. HCA1	|	species	|	ncbi:1470066	|		|		|	
933975	|	933987	|	Nitrosopumilus maritimus	|	species	|	ncbi:338192,worms:559434,gbif:6453388,irmng:11736333	|		|		|	
922115	|	933975	|	Nitrosopumilus maritimus SCM1	|	no rank - terminal	|	silva:CP000866,ncbi:436308	|		|	infraspecific	|	
5580294	|	933987	|	Nitrosopumilus sp. RSA3	|	species	|	ncbi:1435467	|		|		|	
5246629	|	102415	|	Marine Benthic Group A	|	no rank	|	silva:AB177271/#3	|		|		|	
5205059	|	5246629	|	uncultured marine crenarchaeote KM3-153-F8	|	species	|	silva:EU686631,ncbi:526665	|		|		|	
5205648	|	5246629	|	uncultured marine crenarchaeote	|	species	|	silva:FJ150808,ncbi:115413	|		|		|	
5207853	|	5246629	|	uncultured archaeon APA2-17cm	|	species	|	silva:AF119135,ncbi:93186	|		|		|	
5205558	|	5246629	|	uncultured crenarchaeote	|	species	|	silva:EU369858,ncbi:29281	|		|		|	
5205171	|	5246629	|	uncultured marine thaumarchaeote	|	species	|	silva:JF715383,ncbi:1167203	|		|		|	
5207748	|	5246629	|	uncultured archaeon W5-61a	|	species	|	silva:JQ085825,ncbi:1131008	|		|		|	
5207149	|	5246629	|	uncultured marine benthic group A euryarchaeote	|	species	|	silva:JN590083,ncbi:1082484	|		|		|	
5246635	|	102415	|	AK59	|	no rank - terminal	|	silva:AB301997/#3	|		|		|	
5246643	|	102415	|	OPPD003	|	no rank - terminal	|	silva:AY861942/#3	|		|		|	
5246636	|	102415	|	AK8	|	no rank - terminal	|	silva:GQ848431/#3	|		|		|	
5246651	|	102415	|	pMC2A209	|	no rank - terminal	|	silva:AB175574/#3	|		|		|	
5246633	|	102415	|	Group C3	|	no rank	|	silva:U59984/#3	|		|		|	
5205909	|	5246633	|	uncultured marine crenarchaeote E6-3G	|	species	|	silva:HQ214610,ncbi:907719	|		|		|	
5246634	|	102415	|	Class Incertae Sedis	|	no rank - terminal	|	silva:EU239993/#3	|	Class Incertae Sedis (in phylum Thaumarchaeota)	|	was_container	|	
5246649	|	102415	|	Z273FA48	|	no rank - terminal	|	silva:FJ485501/#3	|		|		|	
5208593	|	102415	|	uncultured archaeon SAGMA-Z	|	species	|	silva:AB050231,ncbi:140271	|		|	sibling_higher	|	
5246625	|	102415	|	Miscellaneous Crenarchaeotic Group	|	no rank	|	silva:L25305/#3	|		|		|	
5205620	|	5246625	|	uncultured crenarchaeote pBRKC135	|	species	|	silva:AF118657,ncbi:91314	|		|		|	
5207854	|	5246625	|	uncultured archaeon CRA9-27cm	|	species	|	silva:AF119129,ncbi:93180	|		|		|	
5208511	|	5246625	|	uncultured archaeon 19c-51	|	species	|	silva:AJ294896,ncbi:138505	|		|		|	
5208020	|	5246625	|	uncultured archaeon Arc.171	|	species	|	silva:AF005765,ncbi:62249	|		|		|	
5208563	|	5246625	|	uncultured archaeon Arc.118	|	species	|	silva:AF005761,ncbi:62236	|		|		|	
5208749	|	5246625	|	uncultured archaeon 19b-17	|	species	|	silva:AJ294859,ncbi:138468	|		|		|	
5205910	|	5246625	|	uncultured marine crenarchaeote E37-7F	|	species	|	silva:HQ214611,ncbi:907717	|		|		|	
5205948	|	5246625	|	uncultured Desulfurococcales archaeon	|	species	|	silva:HQ700684,ncbi:307553	|		|		|	
